Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2014-06-30 21:00:00,1.06689,1.09296,1.06205,1.09049,1.06719,1.09297,1.06206,1.09067,1626202,1.06704,1.092965,1.062055,1.09058,1.07751,0.30691971864,-0.09865264524,1.0217032479,1.04690987403,1.07631690684,,,0,1,0,1,,,0,0,0,0,0,0,0,0,0,0,0.00190074788,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.030909999999999993
2014-07-31 21:00:00,1.09049,1.09977,1.08107,1.08698,1.09067,1.09979,1.08109,1.08792,1185480,1.09058,1.09978,1.08108,1.08745,1.09043,0.27506673252,-0.14792080684,1.02502780575,1.05500926478,1.07927152547,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00157742012,,1.08108,-1,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.01869999999999994
2014-08-31 21:00:00,1.08698,1.12195,1.08207,1.11952,1.08792,1.12199,1.08212,1.11996,1849833,1.08745,1.12197,1.082095,1.11974,1.1020325,0.26908583833,-0.11398450453,1.03007508992,1.06018591918,1.07949172038,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00215559999,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.03987499999999988
2014-09-30 21:00:00,1.11952,1.13853,1.10714,1.12671,1.11996,1.13856,1.10721,1.12691,2667131,1.11974,1.138545,1.107175,1.12681,1.12286,0.28703465917,-0.0248740023,1.03586123685,1.06404892929,1.0790953763,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0011761702,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,1.0,,,,,1,0,0,0,1,+-,0.0313699999999999
2014-10-31 21:00:00,1.12671,1.14665,1.11906,1.14277,1.12691,1.14669,1.11917,1.14303,2578361,1.12681,1.14667,1.119115,1.1429,1.1328925,0.32363190949,0.07933680483,1.04169537248,1.06608937562,1.08136230104,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00106870217,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,1,0,3,--,0.027554999999999996
2014-11-30 22:00:00,1.14277,1.16734,1.1313,1.16133,1.14303,1.1675,1.13135,1.16153,3306574,1.1429,1.16742,1.131325,1.16143,1.1493725,0.37489868987,0.17487070411,1.04590515152,1.06751695367,1.08549634083,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00109161325,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.03609499999999999
2014-12-31 22:00:00,1.16133,1.27985,1.16133,1.2717,1.16153,1.27999,1.16153,1.2742,4153471,1.16143,1.27992,1.16143,1.27295,1.220675,0.47600065403,0.32935205045,1.04938090909,1.07038108446,1.09296907267,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00285279469,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.11848999999999998
2015-01-31 22:00:00,1.2717,1.27729,1.23515,1.24969,1.2742,1.27737,1.23525,1.25095,4610791,1.27295,1.27733,1.2352,1.25032,1.256265,0.59648879026,0.46885159328,1.05176487763,1.0743375114,1.10095375813,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00091372608,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.04213
2015-02-28 22:00:00,1.24969,1.28348,1.24061,1.26835,1.25095,1.28356,1.24071,1.26894,3024929,1.25032,1.28352,1.24066,1.268645,1.26209,0.70305043328,0.52808889198,1.05374527165,1.08040282248,1.11063750651,1.28352,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00141689276,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,0,1,2,-+,0.0428599999999999
2015-03-31 21:00:00,1.26835,1.27098,1.19446,1.2074,1.26894,1.27104,1.19451,1.2079,3410107,1.268645,1.27101,1.194485,1.20765,1.2327475,0.77618462547,0.48402233741,1.05656717383,1.08696403217,1.13264500521,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00224406448,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.07652499999999995
