Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2011-05-31 21:00:00,1.033,1.05561,1.02342,1.0328,1.0339,1.05577,1.0236,1.03309,1468445,1.03345,1.05569,1.02351,1.032945,1.0396,0.76701136267,0.14688108735,0.92217022132,0.95446359985,0.97796743041,1.05569,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0021914338,,1.02351,-1,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.0321800000000001
2011-06-30 21:00:00,1.0328,1.0521,1.01258,1.04942,1.03309,1.05227,1.0128,1.04992,1352765,1.032945,1.052185,1.01269,1.04967,1.0324375,0.78540690697,0.1401918176,0.92812828122,0.95992033737,0.98624144433,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00291957583,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.039494999999999836
2011-07-31 21:00:00,1.04942,1.05352,0.9915,1.04665,1.04992,1.0537,0.99185,1.0471,2013266,1.04967,1.05361,0.991675,1.046875,1.0226425,0.78567252123,0.08423026396,0.93343725959,0.96333748269,0.99587315546,,,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00307634461,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.08423026396,,,,,,-0.58426264848,,0,1,0,0,4,++,0.06193499999999996
2011-08-31 21:00:00,1.04665,1.05171,0.99813,1.01446,1.0471,1.0522,0.99832,1.0148,2113990,1.046875,1.051955,0.998225,1.01463,1.02509,0.73950999443,-0.04071685868,0.93814131654,0.97033748486,1.00461852437,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00254163927,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.053729999999999944
2011-09-30 21:00:00,1.01446,1.06648,0.99387,1.05352,1.0148,1.06665,0.99402,1.05395,2255480,1.01463,1.066565,0.993945,1.053735,1.030255,0.68094845376,-0.14703581346,0.94275486912,0.97834529925,1.0101823195,1.066565,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00321971376,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,1,0,0,4,++,0.07262000000000002
2011-10-31 21:00:00,1.05352,1.06007,1.01096,1.04592,1.05395,1.06086,1.01105,1.04687,2222475,1.053735,1.060465,1.011005,1.046395,1.035735,0.62101779465,-0.2108940326,0.94617814841,0.98600213684,1.0126743556,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00222544686,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.04946000000000006
2011-11-30 22:00:00,1.04592,1.04715,1.02553,1.04029,1.04687,1.04783,1.02575,1.0444,1541902,1.046395,1.04749,1.02564,1.042345,1.036565,0.56978085569,-0.22774947537,0.95180579084,0.99180655724,1.01515748448,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00141708098,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.021849999999999925
2011-12-31 22:00:00,1.04029,1.06885,1.03887,1.06449,1.0444,1.06899,1.03945,1.06508,1423399,1.042345,1.06892,1.03916,1.064785,1.05404,0.57018580445,-0.1373556244,0.95815919155,0.99566105008,1.01817698758,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00209077005,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,1.0,1.06892,,,,0,0,0,1,2,-+,0.02976000000000001
2012-01-31 22:00:00,1.06449,1.0784,1.05981,1.06208,1.06508,1.07848,1.05992,1.06232,1217963,1.064785,1.07844,1.059865,1.0622,1.0691525,0.59654324893,-0.02317281691,0.96442386912,0.99933966882,1.02168859007,1.07844,,1,0,1,0,1.07844,,1,0,1,0,1,0,1,0,1,0,0.00152508738,,1.059865,-1,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,1,0,3,--,0.018575000000000008
2012-02-29 22:00:00,1.06208,1.06577,1.03111,1.03171,1.06232,1.06625,1.03124,1.03364,1773755,1.0622,1.06601,1.031175,1.032675,1.0485925,0.58591428543,-0.0057643561,0.96965568688,1.00320408522,1.02466387205,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00196391272,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.03483499999999995
